"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"malek jaziri" 2 917 4599.32504161301 398 157.529411764706 130 74 8 52.3233333333333 "M" 17.5256418423903 458.5 87.9019884362556 2299.66252080651 7.60654902210614 199 26.1616666666667 61.3207547169811 34.9056603773585 3.77358490566038
"adrian menendez maceiras" 1 320 1961.51990857143 184 153.2625 61 34 1 26.05 "M" 12.2840690978887 320 75.2982690430491 1961.51990857143 7.06333973128599 184 26.05 63.5416666666667 35.4166666666667 1.04166666666667
"adrian mannarino" 5 2629.5 13506.2133560778 1121 163.314901204496 354 190 11 149.39 "M" 17.6015797576812 525.9 90.4090859902119 2701.24267121555 7.5038489858759 224.2 29.878 63.7837837837838 34.2342342342342 1.98198198198198
"taylor fritz" 2 924.5 4606.34476932796 474 171.486101973684 137 89 10 57.76 "M" 16.0058864265928 462.25 79.7497363110796 2303.17238466398 8.20637119113573 237 28.88 58.0508474576271 37.7118644067797 4.23728813559322
"hyeon chung" 3 1378 6942.28090837688 683 174.832581591492 224 102 18 94.5733333333334 "M" 14.5707035105033 459.333333333333 73.4063256912823 2314.09363612563 7.22190892429155 227.666666666667 31.5244444444445 65.1162790697674 29.6511627906977 5.23255813953488
"borna coric" 2 960 4521.63831869096 462 167.852464788733 151 68 6 63.33 "M" 15.1586925627665 480 71.398047034438 2260.81915934548 7.29512079583136 231 31.665 67.1111111111111 30.2222222222222 2.66666666666667
"steve johnson" 6 2125.5 12384.5688526541 1224 173.820728568769 393 207 19 158.256666666667 "M" 13.430713819323 354.25 78.2562220821921 2064.09480877569 7.73427133138151 204 26.3761111111111 63.4894991922456 33.4410339256866 3.06946688206785
"viktor troicki" 4 1850.5 9303.32499684404 886 160.479028915433 231 170 26 117.286666666667 "M" 15.7775819928381 462.625 79.321249902041 2325.83124921101 7.55414085147502 221.5 29.3216666666667 54.0983606557377 39.8126463700234 6.08899297423888
"damir dzumhur" 2 1071.5 5777.23669417767 473 155.022870511841 142 70 7 58.7366666666667 "M" 18.2424380001135 535.75 98.3582661740707 2888.61834708883 8.05289143635435 236.5 29.3683333333334 64.8401826484018 31.9634703196347 3.19634703196347
"thomas fabbiano" 1 499.5 2561.80274566474 175 159.929411764706 55 30 2 26.5233333333333 "M" 18.8324745507101 499.5 96.586756780121 2561.80274566474 6.59796405680534 175 26.5233333333333 63.2183908045977 34.4827586206897 2.29885057471264
"denis shapovalov" 3 1196.5 6777.70224751984 633 170.139648045696 179 102 13 85.99 "M" 13.9144086521689 398.833333333333 78.8196563265477 2259.23408250661 7.36132108384696 211 28.6633333333333 60.8843537414966 34.6938775510204 4.42176870748299
