"Player" "n" "RallyCount" "PDist" "Point" "Speed" "PrimerServei" "SegonServei" "DobleFalta" "Time" "Genere" "rally_min" "rally_partit" "Dist_min" "Dist_partit" "PercentatgePrimerServei" "PercentatgeSegonServei" "PercentatgeDobleFalta"
"stephane robert" 2 597.5 3226.48872897285 312 161.910416666666 90 63 7 40.0866666666667 1 14.9052053883253 298.75 80.4878279304718 1613.24436448643 56.25 39.375 4.375
"taylor fritz" 19 8537.5 79335.9033470076 4980 170.91957140584 1473 939 112 644.063333333333 1 13.2556839648275 449.342105263158 123.180282498627 4175.57386036882 58.3597464342314 37.202852614897 4.43740095087163
"inigo cervantes huegun" 1 344.5 1714.13928061225 201 166.427184466019 58 45 7 24.1 1 14.2946058091286 344.5 71.1261112287241 1714.13928061225 52.7272727272727 40.9090909090909 6.36363636363636
"liam broady" 4 1561 15207.2867216919 718 165.554030428609 246 109 8 99.0166666666667 1 15.7650227234472 390.25 153.58310104385 3801.82168042298 67.7685950413223 30.0275482093664 2.20385674931129
"andreas seppi" 16 6796 67258.6780497176 4066 164.713752871031 1141 803 76 537.083333333333 1 12.6535298681148 424.75 125.229501411422 4203.66737810735 56.4851485148515 39.7524752475248 3.76237623762376
"julien benneteau" 4 1674.5 9581.84409278755 1041 173.001365041634 313 188 27 141.843333333333 1 11.8052781237516 418.625 67.552304839524 2395.46102319689 59.280303030303 35.6060606060606 5.11363636363636
"benjamin becker" 2 579.5 8170.35201814059 348 172.283681340603 111 65 12 42.94 1 13.4955752212389 289.75 190.27368463299 4085.17600907029 59.0425531914894 34.5744680851064 6.38297872340426
"juan monaco" 1 269 1407.94827631579 153 170.725 65 15 0 16.51 1 16.2931556632344 269 85.278514616341 1407.94827631579 81.25 18.75 0
"yen hsun lu" 4 1312.5 11277.6790193614 728 171.786672510809 238 123 11 94.3566666666666 1 13.9099869290282 328.125 119.521803999308 2819.41975484034 63.9784946236559 33.0645161290323 2.95698924731183
"andrey kuznetsov" 7 2432 18804.7024777895 1491 165.908683193114 446 298 29 205.52 1 11.83339820942 347.428571428571 91.498163087726 2686.38606825564 57.6972833117723 38.5510996119017 3.751617076326
"jiri vesely" 13 4327.5 35980.5690139047 2905 179.993680896574 975 436 55 396.826666666667 1 10.9052651031517 332.884615384615 90.6707437686599 2767.73607799267 66.5075034106412 29.7407912687585 3.75170532060027
"john millman" 16 7142 54406.8715848185 3475 165.319834910351 1088 598 31 495.003333333333 1 14.4281856687834 446.375 109.912131739487 3400.42947405115 63.3663366336634 34.8281887012231 1.80547466511357
"sam querrey" 31 10349.5 73617.8434912742 6942 176.768727059538 2035 1222 168 847.05 1 12.2182869960451 333.854838709677 86.9108594430957 2374.76914487981 59.4160583941606 35.6788321167883 4.90510948905109
